,slide,dataset,uid,x,y,expert1_label,expert2_label,expert1_atypical,expert2_atypical,expert3_atypical,majority_atypical
0,002.tiff,MIDOG21,6,4422,216,NMF prometaphase,NMF metaphase,False,False,False,False
1,002.tiff,MIDOG21,7,1867,1583,AMF segregation,AMF segregation,True,True,True,True
2,002.tiff,MIDOG21,9,5344,3277,NMF metaphase,NMF metaphase,False,False,False,False
3,002.tiff,MIDOG21,10,6267,3218,NMF prometaphase,NMF metaphase,False,False,False,False
4,002.tiff,MIDOG21,13,4661,4319,NMF prometaphase,NMF prometaphase,False,False,True,False
5,002.tiff,MIDOG21,14,1331,4937,NMF metaphase,NMF metaphase,False,False,False,False
6,002.tiff,MIDOG21,17,1316,2783,NMF metaphase,AMF segregation,False,True,False,False
7,002.tiff,MIDOG21,18,3531,2486,NMF metaphase,NMF metaphase,False,False,False,False
8,002.tiff,MIDOG21,20,2197,3257,NMF metaphase,NMF metaphase,False,False,True,False
9,003.tiff,MIDOG21,22,2199,822,NMF anaphase-telophase,NMF anaphase-telophase,False,False,True,False
10,003.tiff,MIDOG21,25,1101,421,NMF prometaphase,AMF segregation,False,True,False,False
11,003.tiff,MIDOG21,26,1044,831,NMF metaphase,NMF metaphase,False,False,False,False
12,003.tiff,MIDOG21,29,4888,456,NMF metaphase,NMF metaphase,False,False,False,False
13,003.tiff,MIDOG21,30,1019,1450,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
14,003.tiff,MIDOG21,31,1110,985,NMF metaphase,NMF metaphase,False,False,False,False
15,003.tiff,MIDOG21,32,5325,2163,NMF metaphase,NMF metaphase,False,False,False,False
16,003.tiff,MIDOG21,34,2640,3145,NMF prometaphase,NMF prometaphase,False,False,False,False
17,003.tiff,MIDOG21,39,3934,3468,NMF anaphase-telophase,NMF anaphase-telophase,False,False,True,False
18,003.tiff,MIDOG21,40,3726,4273,NMF metaphase,NMF metaphase,False,False,False,False
19,003.tiff,MIDOG21,41,3958,4564,NMF metaphase,NMF metaphase,False,False,False,False
20,004.tiff,MIDOG21,46,2236,765,NMF prometaphase,NMF prometaphase,False,False,False,False
21,004.tiff,MIDOG21,48,374,332,NMF metaphase,NMF metaphase,False,False,True,False
22,004.tiff,MIDOG21,60,4272,2852,NMF anaphase-telophase,AMF bipolar assymetric,False,True,False,False
23,005.tiff,MIDOG21,65,1500,3000,NMF metaphase,NMF metaphase,False,False,False,False
24,005.tiff,MIDOG21,66,6473,2402,NMF prometaphase,AMF other,False,True,True,True
25,005.tiff,MIDOG21,68,4620,3531,NMF metaphase,NMF metaphase,False,False,False,False
26,006.tiff,MIDOG21,80,704,1570,NMF metaphase,NMF metaphase,False,False,False,False
27,006.tiff,MIDOG21,84,745,1685,AMF other,AMF other,True,True,True,True
28,006.tiff,MIDOG21,90,3198,3762,NMF anaphase-telophase,AMF bipolar assymetric,False,True,True,True
29,006.tiff,MIDOG21,91,4318,3192,NMF prometaphase,NMF prometaphase,False,False,False,False
30,006.tiff,MIDOG21,92,4439,3271,NMF prometaphase,NMF prometaphase,False,False,False,False
31,006.tiff,MIDOG21,94,3948,4629,NMF metaphase,NMF metaphase,False,False,False,False
32,007.tiff,MIDOG21,106,2623,730,NMF prometaphase,NMF anaphase-telophase,False,False,True,False
33,007.tiff,MIDOG21,107,1819,653,NMF metaphase,NMF metaphase,False,False,False,False
34,007.tiff,MIDOG21,108,1108,777,NMF prometaphase,NMF prometaphase,False,False,False,False
35,007.tiff,MIDOG21,111,2919,349,NMF metaphase,NMF metaphase,False,False,False,False
36,007.tiff,MIDOG21,112,3589,278,NMF metaphase,NMF metaphase,False,False,False,False
37,007.tiff,MIDOG21,113,4230,250,NMF metaphase,NMF metaphase,False,False,False,False
38,007.tiff,MIDOG21,114,6968,448,AMF segregation,AMF segregation,True,True,True,True
39,007.tiff,MIDOG21,116,3760,1080,NMF ring shape,NMF anaphase-telophase,False,False,False,False
40,007.tiff,MIDOG21,118,6248,821,NMF metaphase,NMF metaphase,False,False,False,False
41,007.tiff,MIDOG21,120,1510,1773,NMF prometaphase,NMF metaphase,False,False,False,False
42,007.tiff,MIDOG21,124,2088,2485,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
43,007.tiff,MIDOG21,125,3405,2563,NMF prometaphase,NMF prometaphase,False,False,False,False
44,007.tiff,MIDOG21,127,961,3375,NMF prometaphase,NMF prometaphase,False,False,False,False
45,007.tiff,MIDOG21,130,5593,3198,NMF prometaphase,NMF prometaphase,False,False,False,False
46,007.tiff,MIDOG21,131,6993,3553,AMF segregation,AMF segregation,True,True,True,True
47,007.tiff,MIDOG21,133,6089,3758,NMF prometaphase,NMF prometaphase,False,False,False,False
48,007.tiff,MIDOG21,134,6898,3323,NMF prometaphase,NMF prometaphase,False,False,False,False
49,007.tiff,MIDOG21,135,2046,3969,NMF metaphase,NMF metaphase,False,False,False,False
50,007.tiff,MIDOG21,139,2824,5019,NMF prometaphase,AMF other,False,True,True,True
51,007.tiff,MIDOG21,140,3612,5179,NMF prometaphase,NMF metaphase,False,False,False,False
52,007.tiff,MIDOG21,141,4001,5127,NMF prometaphase,NMF prometaphase,False,False,False,False
53,007.tiff,MIDOG21,144,6922,2004,NMF prometaphase,NMF prometaphase,False,False,False,False
54,008.tiff,MIDOG21,147,3939,1214,NMF metaphase,NMF metaphase,False,False,False,False
55,008.tiff,MIDOG21,154,4680,4271,AMF multipolar,AMF multipolar,True,True,True,True
56,008.tiff,MIDOG21,155,405,5104,NMF metaphase,AMF segregation,False,True,False,False
57,008.tiff,MIDOG21,156,6291,5365,NMF anaphase-telophase,NMF metaphase,False,False,True,False
58,008.tiff,MIDOG21,162,887,1529,NMF metaphase,NMF metaphase,False,False,False,False
59,008.tiff,MIDOG21,165,6420,4532,NMF prometaphase,NMF prometaphase,False,False,False,False
60,009.tiff,MIDOG21,168,2391,1964,NMF metaphase,NMF metaphase,False,False,False,False
61,009.tiff,MIDOG21,169,2300,1597,NMF metaphase,NMF metaphase,False,False,False,False
62,009.tiff,MIDOG21,171,4278,3203,NMF metaphase,NMF metaphase,False,False,False,False
63,009.tiff,MIDOG21,172,5294,3297,NMF metaphase,NMF metaphase,False,False,False,False
64,010.tiff,MIDOG21,193,746,172,NMF metaphase,NMF metaphase,False,False,False,False
65,010.tiff,MIDOG21,194,247,466,NMF metaphase,NMF metaphase,False,False,False,False
66,010.tiff,MIDOG21,196,5433,1263,AMF other,AMF bipolar assymetric,True,True,True,True
67,010.tiff,MIDOG21,200,1435,2252,NMF metaphase,NMF metaphase,False,False,False,False
68,010.tiff,MIDOG21,201,3204,1896,NMF metaphase,NMF metaphase,False,False,False,False
69,010.tiff,MIDOG21,202,3764,1780,NMF metaphase,NMF metaphase,False,False,False,False
70,010.tiff,MIDOG21,204,2250,3069,NMF metaphase,NMF metaphase,False,False,False,False
71,010.tiff,MIDOG21,206,4442,3502,NMF metaphase,NMF metaphase,False,False,False,False
72,010.tiff,MIDOG21,211,2575,4451,NMF metaphase,NMF metaphase,False,False,False,False
73,010.tiff,MIDOG21,212,3273,4452,NMF metaphase,NMF metaphase,False,False,False,False
74,010.tiff,MIDOG21,213,2227,5376,NMF metaphase,NMF metaphase,False,False,False,False
75,010.tiff,MIDOG21,215,2953,5014,AMF segregation,AMF segregation,True,True,True,True
76,010.tiff,MIDOG21,216,3863,4728,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
77,010.tiff,MIDOG21,218,4943,3346,NMF prometaphase,NMF prometaphase,False,False,False,False
78,011.tiff,MIDOG21,223,4033,253,NMF metaphase,NMF metaphase,False,False,False,False
79,011.tiff,MIDOG21,224,4039,1992,NMF prometaphase,AMF multipolar,False,True,True,True
80,011.tiff,MIDOG21,225,5645,3290,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
81,012.tiff,MIDOG21,232,3756,4053,NMF prometaphase,NMF prometaphase,False,False,False,False
82,012.tiff,MIDOG21,238,6750,1227,NMF metaphase,NMF prometaphase,False,False,False,False
83,013.tiff,MIDOG21,240,2537,154,NMF metaphase,NMF metaphase,False,False,False,False
84,013.tiff,MIDOG21,241,6033,722,NMF metaphase,NMF metaphase,False,False,False,False
85,013.tiff,MIDOG21,242,2123,1570,NMF metaphase,NMF metaphase,False,False,False,False
86,013.tiff,MIDOG21,243,1848,1605,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
87,013.tiff,MIDOG21,245,199,2148,AMF other,AMF other,True,True,True,True
88,013.tiff,MIDOG21,246,5243,1969,NMF prometaphase,NMF metaphase,False,False,True,False
89,013.tiff,MIDOG21,247,5324,2234,NMF prometaphase,NMF metaphase,False,False,False,False
90,013.tiff,MIDOG21,248,1295,2959,NMF metaphase,NMF metaphase,False,False,False,False
91,013.tiff,MIDOG21,249,1710,2861,NMF prometaphase,NMF prometaphase,False,False,False,False
92,013.tiff,MIDOG21,250,4626,2659,NMF prometaphase,NMF prometaphase,False,False,False,False
93,013.tiff,MIDOG21,253,4928,3395,NMF prometaphase,NMF prometaphase,False,False,False,False
94,013.tiff,MIDOG21,254,6821,3779,NMF metaphase,AMF segregation,False,True,True,True
95,013.tiff,MIDOG21,258,3064,3994,NMF metaphase,NMF metaphase,False,False,False,False
96,013.tiff,MIDOG21,259,5011,4565,NMF prometaphase,NMF prometaphase,False,False,False,False
97,013.tiff,MIDOG21,260,5267,3963,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
98,013.tiff,MIDOG21,262,3656,5377,NMF metaphase,NMF metaphase,False,False,False,False
99,013.tiff,MIDOG21,263,3727,5362,NMF prometaphase,NMF prometaphase,False,False,False,False
100,013.tiff,MIDOG21,268,3118,1384,NMF prometaphase,NMF prometaphase,False,False,True,False
101,014.tiff,MIDOG21,276,3450,372,NMF prometaphase,NMF prometaphase,False,False,False,False
102,014.tiff,MIDOG21,278,1839,1366,NMF prometaphase,AMF other,False,True,True,True
103,014.tiff,MIDOG21,279,3732,1355,NMF prometaphase,NMF prometaphase,False,False,False,False
104,014.tiff,MIDOG21,281,5064,3264,NMF prometaphase,NMF prometaphase,False,False,False,False
