image_id,filename,majority
1.png,201.tiff,NMF
2.png,201.tiff,NMF
3.png,201.tiff,NMF
4.png,201.tiff,AMF
5.png,201.tiff,AMF
6.png,201.tiff,NMF
7.png,201.tiff,NMF
8.png,201.tiff,AMF
9.png,201.tiff,NMF
10.png,201.tiff,NMF
11.png,201.tiff,NMF
12.png,201.tiff,NMF
13.png,201.tiff,NMF
14.png,201.tiff,NMF
15.png,201.tiff,NMF
16.png,201.tiff,NMF
17.png,201.tiff,NMF
18.png,201.tiff,NMF
19.png,202.tiff,NMF
20.png,202.tiff,NMF
21.png,202.tiff,AMF
22.png,202.tiff,NMF
23.png,202.tiff,NMF
24.png,202.tiff,AMF
25.png,202.tiff,NMF
26.png,202.tiff,NMF
27.png,202.tiff,NMF
28.png,202.tiff,NMF
29.png,202.tiff,NMF
30.png,202.tiff,NMF
31.png,202.tiff,AMF
32.png,202.tiff,NMF
33.png,202.tiff,NMF
34.png,202.tiff,NMF
35.png,203.tiff,NMF
36.png,203.tiff,NMF
37.png,203.tiff,NMF
38.png,203.tiff,AMF
39.png,203.tiff,NMF
40.png,203.tiff,NMF
41.png,203.tiff,NMF
42.png,203.tiff,AMF
43.png,203.tiff,NMF
44.png,203.tiff,NMF
45.png,203.tiff,NMF
46.png,203.tiff,NMF
47.png,203.tiff,NMF
48.png,203.tiff,NMF
49.png,203.tiff,NMF
50.png,203.tiff,NMF
51.png,203.tiff,NMF
52.png,203.tiff,NMF
53.png,203.tiff,NMF
54.png,203.tiff,NMF
55.png,204.tiff,NMF
56.png,204.tiff,NMF
57.png,204.tiff,AMF
58.png,204.tiff,NMF
59.png,204.tiff,NMF
60.png,204.tiff,NMF
61.png,204.tiff,NMF
62.png,204.tiff,AMF
63.png,204.tiff,NMF
64.png,204.tiff,NMF
65.png,204.tiff,NMF
66.png,204.tiff,AMF
67.png,204.tiff,AMF
68.png,204.tiff,NMF
69.png,204.tiff,NMF
70.png,204.tiff,NMF
71.png,204.tiff,AMF
72.png,204.tiff,NMF
73.png,204.tiff,NMF
74.png,204.tiff,NMF
75.png,204.tiff,NMF
76.png,205.tiff,AMF
77.png,205.tiff,NMF
78.png,205.tiff,NMF
79.png,205.tiff,NMF
80.png,205.tiff,NMF
81.png,205.tiff,NMF
82.png,205.tiff,NMF
83.png,205.tiff,NMF
84.png,205.tiff,NMF
85.png,205.tiff,NMF
86.png,205.tiff,NMF
87.png,205.tiff,NMF
88.png,205.tiff,NMF
89.png,205.tiff,AMF
90.png,205.tiff,NMF
91.png,205.tiff,AMF
92.png,205.tiff,AMF
93.png,205.tiff,NMF
94.png,205.tiff,AMF
95.png,205.tiff,NMF
96.png,205.tiff,AMF
97.png,205.tiff,NMF
98.png,205.tiff,NMF
99.png,205.tiff,NMF
100.png,206.tiff,AMF
101.png,206.tiff,NMF
102.png,206.tiff,NMF
103.png,206.tiff,NMF
104.png,206.tiff,AMF
105.png,206.tiff,NMF
106.png,206.tiff,NMF
107.png,206.tiff,NMF
108.png,206.tiff,NMF
109.png,206.tiff,NMF
110.png,206.tiff,NMF
111.png,206.tiff,NMF
112.png,206.tiff,NMF
113.png,206.tiff,NMF
114.png,206.tiff,NMF
115.png,207.tiff,NMF
116.png,207.tiff,NMF
117.png,207.tiff,AMF
118.png,208.tiff,NMF
119.png,208.tiff,NMF
120.png,208.tiff,NMF
121.png,208.tiff,NMF
122.png,208.tiff,NMF
123.png,208.tiff,NMF
124.png,208.tiff,NMF
125.png,208.tiff,NMF
126.png,208.tiff,NMF
127.png,208.tiff,NMF
128.png,208.tiff,NMF
129.png,208.tiff,NMF
130.png,209.tiff,NMF
131.png,209.tiff,NMF
132.png,209.tiff,AMF
133.png,209.tiff,NMF
134.png,209.tiff,AMF
135.png,209.tiff,NMF
136.png,209.tiff,NMF
137.png,209.tiff,NMF
138.png,209.tiff,NMF
139.png,209.tiff,AMF
140.png,209.tiff,NMF
