image_id,majority
1.png,NMF
2.png,NMF
3.png,NMF
4.png,AMF
5.png,AMF
6.png,NMF
7.png,NMF
8.png,AMF
9.png,NMF
10.png,NMF
11.png,NMF
12.png,NMF
13.png,NMF
14.png,NMF
15.png,NMF
16.png,NMF
17.png,NMF
18.png,NMF
35.png,NMF
36.png,NMF
37.png,NMF
38.png,AMF
39.png,NMF
40.png,NMF
41.png,NMF
42.png,AMF
43.png,NMF
44.png,NMF
45.png,NMF
46.png,NMF
47.png,NMF
48.png,NMF
49.png,NMF
50.png,NMF
51.png,NMF
52.png,NMF
53.png,NMF
54.png,NMF
55.png,NMF
56.png,NMF
57.png,AMF
58.png,NMF
59.png,NMF
60.png,NMF
61.png,NMF
62.png,AMF
63.png,NMF
64.png,NMF
65.png,NMF
66.png,AMF
67.png,AMF
68.png,NMF
69.png,NMF
70.png,NMF
71.png,AMF
72.png,NMF
73.png,NMF
74.png,NMF
75.png,NMF
76.png,AMF
77.png,NMF
78.png,NMF
79.png,NMF
80.png,NMF
81.png,NMF
82.png,NMF
83.png,NMF
84.png,NMF
85.png,NMF
86.png,NMF
87.png,NMF
88.png,NMF
89.png,AMF
90.png,NMF
91.png,AMF
92.png,AMF
93.png,NMF
94.png,AMF
95.png,NMF
96.png,AMF
97.png,NMF
98.png,NMF
99.png,NMF
100.png,AMF
101.png,NMF
102.png,NMF
103.png,NMF
104.png,AMF
105.png,NMF
106.png,NMF
107.png,NMF
108.png,NMF
109.png,NMF
110.png,NMF
111.png,NMF
112.png,NMF
113.png,NMF
114.png,NMF
115.png,NMF
116.png,NMF
117.png,AMF
118.png,NMF
119.png,NMF
120.png,NMF
121.png,NMF
122.png,NMF
123.png,NMF
124.png,NMF
125.png,NMF
126.png,NMF
127.png,NMF
128.png,NMF
129.png,NMF
130.png,NMF
131.png,NMF
132.png,AMF
133.png,NMF
134.png,AMF
135.png,NMF
136.png,NMF
137.png,NMF
138.png,NMF
139.png,AMF
140.png,NMF
141.png,NMF
142.png,NMF
143.png,NMF
144.png,NMF
145.png,AMF
146.png,AMF
147.png,NMF
148.png,AMF
149.png,NMF
176.png,NMF
177.png,NMF
178.png,NMF
179.png,NMF
180.png,NMF
181.png,NMF
182.png,AMF
183.png,NMF
184.png,AMF
185.png,NMF
186.png,NMF
187.png,NMF
188.png,NMF
189.png,NMF
190.png,NMF
191.png,AMF
192.png,AMF
193.png,NMF
194.png,NMF
195.png,NMF
196.png,AMF
197.png,NMF
198.png,NMF
199.png,NMF
200.png,NMF
201.png,AMF
202.png,NMF
203.png,NMF
204.png,NMF
205.png,NMF
206.png,NMF
207.png,NMF
208.png,NMF
209.png,NMF
210.png,NMF
211.png,NMF
212.png,NMF
213.png,NMF
214.png,AMF
215.png,NMF
216.png,AMF
217.png,NMF
218.png,NMF
219.png,NMF
220.png,NMF
221.png,NMF
222.png,NMF
223.png,NMF
224.png,NMF
225.png,NMF
226.png,NMF
227.png,NMF
228.png,NMF
229.png,NMF
230.png,NMF
231.png,NMF
232.png,NMF
233.png,NMF
234.png,NMF
235.png,NMF
236.png,NMF
237.png,NMF
238.png,NMF
239.png,AMF
240.png,NMF
241.png,NMF
242.png,NMF
243.png,NMF
244.png,NMF
245.png,NMF
246.png,NMF
247.png,NMF
248.png,NMF
249.png,NMF
250.png,NMF
251.png,NMF
252.png,NMF
253.png,NMF
254.png,NMF
255.png,NMF
256.png,NMF
257.png,NMF
258.png,NMF
259.png,NMF
260.png,NMF
261.png,NMF
262.png,NMF
263.png,NMF
264.png,NMF
265.png,NMF
266.png,NMF
267.png,NMF
268.png,NMF
269.png,NMF
270.png,NMF
271.png,NMF
272.png,NMF
273.png,NMF
274.png,NMF
275.png,NMF
276.png,NMF
277.png,NMF
278.png,NMF
279.png,NMF
280.png,NMF
281.png,NMF
282.png,NMF
283.png,NMF
284.png,NMF
285.png,NMF
286.png,NMF
287.png,NMF
288.png,NMF
289.png,NMF
290.png,NMF
291.png,NMF
292.png,NMF
293.png,NMF
294.png,NMF
295.png,NMF
296.png,NMF
297.png,NMF
298.png,NMF
299.png,NMF
300.png,NMF
301.png,NMF
302.png,NMF
303.png,NMF
304.png,NMF
305.png,NMF
306.png,NMF
307.png,NMF
308.png,NMF
309.png,AMF
310.png,NMF
311.png,AMF
312.png,NMF
313.png,NMF
314.png,NMF
315.png,NMF
316.png,AMF
317.png,NMF
318.png,NMF
319.png,AMF
320.png,NMF
321.png,NMF
322.png,NMF
323.png,NMF
324.png,NMF
325.png,NMF
326.png,NMF
327.png,NMF
328.png,NMF
329.png,AMF
330.png,NMF
331.png,NMF
332.png,NMF
333.png,NMF
334.png,NMF
335.png,NMF
336.png,NMF
337.png,NMF
338.png,NMF
339.png,NMF
340.png,NMF
341.png,NMF
342.png,NMF
343.png,NMF
344.png,NMF
345.png,NMF
346.png,AMF
347.png,NMF
348.png,NMF
349.png,NMF
350.png,AMF
351.png,NMF
352.png,AMF
353.png,NMF
354.png,NMF
355.png,NMF
356.png,NMF
357.png,NMF
358.png,NMF
359.png,NMF
360.png,NMF
361.png,NMF
362.png,NMF
363.png,NMF
364.png,NMF
365.png,NMF
366.png,NMF
367.png,NMF
368.png,NMF
369.png,NMF
370.png,NMF
371.png,NMF
372.png,NMF
373.png,NMF
374.png,AMF
375.png,NMF
376.png,NMF
377.png,NMF
378.png,NMF
379.png,NMF
380.png,NMF
381.png,NMF
382.png,NMF
383.png,NMF
384.png,NMF
385.png,NMF
386.png,NMF
387.png,NMF
388.png,NMF
389.png,NMF
390.png,NMF
391.png,NMF
392.png,NMF
393.png,NMF
394.png,NMF
395.png,NMF
396.png,NMF
397.png,NMF
398.png,NMF
399.png,NMF
400.png,NMF
401.png,NMF
402.png,NMF
403.png,NMF
404.png,NMF
405.png,NMF
406.png,NMF
407.png,NMF
408.png,NMF
409.png,NMF
410.png,NMF
411.png,NMF
412.png,AMF
413.png,NMF
414.png,NMF
415.png,NMF
416.png,NMF
417.png,NMF
418.png,NMF
419.png,NMF
420.png,NMF
421.png,NMF
422.png,NMF
423.png,NMF
424.png,NMF
425.png,NMF
426.png,NMF
427.png,NMF
428.png,NMF
429.png,NMF
430.png,NMF
431.png,NMF
432.png,NMF
433.png,NMF
434.png,NMF
435.png,NMF
436.png,AMF
437.png,AMF
438.png,NMF
439.png,NMF
440.png,NMF
441.png,AMF
442.png,NMF
443.png,NMF
444.png,NMF
445.png,NMF
446.png,NMF
447.png,NMF
448.png,AMF
449.png,AMF
450.png,NMF
451.png,NMF
452.png,NMF
471.png,NMF
472.png,NMF
473.png,NMF
474.png,NMF
475.png,AMF
476.png,NMF
477.png,NMF
478.png,AMF
479.png,AMF
480.png,NMF
481.png,NMF
482.png,AMF
483.png,NMF
484.png,NMF
493.png,NMF
494.png,NMF
495.png,NMF
496.png,NMF
497.png,NMF
498.png,NMF
499.png,NMF
500.png,AMF
501.png,NMF
502.png,NMF
503.png,NMF
504.png,NMF
505.png,NMF
506.png,NMF
507.png,NMF
508.png,NMF
509.png,NMF
510.png,NMF
511.png,NMF
512.png,NMF
513.png,NMF
514.png,AMF
515.png,NMF
516.png,NMF
517.png,NMF
518.png,NMF
519.png,NMF
520.png,NMF
521.png,NMF
522.png,NMF
523.png,NMF
524.png,NMF
525.png,NMF
526.png,NMF
527.png,NMF
528.png,AMF
529.png,NMF
530.png,NMF
531.png,NMF
532.png,AMF
533.png,NMF
534.png,NMF
535.png,NMF
536.png,NMF
537.png,NMF
538.png,NMF
539.png,NMF
540.png,NMF
541.png,NMF
542.png,NMF
543.png,NMF
544.png,AMF
545.png,NMF
546.png,NMF
547.png,NMF
548.png,NMF
549.png,NMF
550.png,NMF
551.png,NMF
552.png,NMF
553.png,AMF
554.png,AMF
555.png,NMF
556.png,NMF
557.png,NMF
558.png,NMF
559.png,NMF
560.png,NMF
561.png,NMF
562.png,NMF
563.png,AMF
564.png,NMF
565.png,NMF
566.png,NMF
567.png,NMF
568.png,NMF
569.png,NMF
570.png,NMF
571.png,NMF
572.png,AMF
573.png,NMF
574.png,NMF
575.png,NMF
576.png,NMF
577.png,NMF
578.png,NMF
579.png,NMF
580.png,AMF
581.png,NMF
582.png,NMF
583.png,NMF
584.png,NMF
585.png,NMF
586.png,NMF
587.png,NMF
588.png,NMF
589.png,NMF
590.png,NMF
591.png,NMF
592.png,NMF
593.png,NMF
594.png,NMF
595.png,NMF
596.png,NMF
597.png,NMF
598.png,NMF
599.png,NMF
600.png,NMF
601.png,NMF
602.png,AMF
621.png,NMF
622.png,NMF
623.png,NMF
624.png,NMF
625.png,NMF
626.png,NMF
627.png,NMF
628.png,NMF
629.png,NMF
630.png,NMF
631.png,NMF
632.png,NMF
633.png,NMF
634.png,NMF
635.png,NMF
636.png,NMF
637.png,NMF
638.png,AMF
639.png,AMF
640.png,NMF
641.png,AMF
642.png,NMF
643.png,AMF
644.png,NMF
645.png,NMF
646.png,NMF
647.png,NMF
648.png,NMF
649.png,NMF
650.png,AMF
651.png,NMF
652.png,AMF
653.png,AMF
654.png,NMF
655.png,AMF
656.png,NMF
657.png,AMF
658.png,NMF
659.png,NMF
660.png,NMF
661.png,NMF
662.png,AMF
663.png,NMF
664.png,NMF
665.png,AMF
666.png,AMF
667.png,NMF
668.png,NMF
669.png,NMF
670.png,NMF
671.png,NMF
672.png,AMF
673.png,AMF
674.png,NMF
675.png,NMF
676.png,NMF
677.png,NMF
678.png,AMF
679.png,NMF
680.png,NMF
681.png,NMF
682.png,NMF
683.png,NMF
684.png,NMF
685.png,NMF
686.png,NMF
687.png,NMF
688.png,AMF
689.png,NMF
690.png,NMF
691.png,NMF
692.png,NMF
693.png,AMF
694.png,NMF
695.png,AMF
696.png,NMF
697.png,NMF
698.png,NMF
699.png,NMF
700.png,NMF
701.png,NMF
702.png,NMF
703.png,NMF
704.png,NMF
705.png,NMF
706.png,NMF
707.png,NMF
708.png,NMF
709.png,NMF
710.png,NMF
711.png,NMF
712.png,NMF
713.png,NMF
714.png,NMF
715.png,NMF
716.png,NMF
717.png,NMF
718.png,NMF
719.png,NMF
720.png,NMF
721.png,NMF
722.png,NMF
723.png,NMF
724.png,NMF
725.png,NMF
726.png,NMF
727.png,NMF
728.png,NMF
729.png,NMF
730.png,NMF
731.png,NMF
732.png,NMF
733.png,NMF
734.png,NMF
735.png,NMF
736.png,NMF
737.png,NMF
738.png,NMF
739.png,NMF
740.png,NMF
741.png,NMF
742.png,NMF
743.png,NMF
744.png,NMF
745.png,NMF
746.png,NMF
747.png,AMF
748.png,NMF
749.png,NMF
750.png,NMF
751.png,NMF
752.png,NMF
753.png,NMF
754.png,NMF
755.png,NMF
756.png,NMF
757.png,NMF
758.png,NMF
759.png,NMF
760.png,AMF
761.png,NMF
762.png,NMF
763.png,NMF
764.png,NMF
765.png,NMF
766.png,NMF
767.png,NMF
